576 6 163 ; 38 99 45 ; 257 574 119 ; 730 356 79 ; 900 920 162 ; 
214 231 492 ; 968 972 281 ; 390 337 412 ; 750 48 261 ; 235 637 375 ; 
242 672 422 ; 341 150 42 ; 916 181 404 ; 248 304 245 ; 145 190 184 ; 
376 554 352 ; 325 823 19 ; 662 387 91 ; 710 881 133 ; 323 0 351 ; 
996 263 286 ; 122 77 112 ; 303 954 294 ; 607 39 430 ; 798 879 278 ; 
328 572 347 ; 128 479 40 ; 515 330 133 ; 372 571 119 ; 373 538 398 ; 
636 740 313 ; 713 161 29 ; 643 947 443 ; 683 601 26 ; 538 503 6 ; 
86 551 44 ; 565 975 40 ; 895 700 220 ; 442 63 200 ; 980 137 92 ; 
697 535 273 ; 858 904 17 ; 781 372 15 ; 358 142 226 ; 861 520 45 ; 
388 672 156 ; 339 129 466 ; 15 737 496 ; 79 837 483 ; 216 286 118 ; 
751 107 46 ; 632 565 111 ; 1004 712 73 ; 122 478 78 ; 643 928 260 ; 
291 892 46 ; 420 942 282 ; 134 534 214 ; 971 1022 121 ; 233 928 124 ; 
341 790 473 ; 906 326 480 ; 594 719 176 ; 48 870 208 ; 976 354 103 ; 
844 700 366 ; 763 411 393 ; 273 461 226 ; 271 526 84 ; 175 671 371 ; 
966 8 329 ; 268 96 286 ; 987 817 56 ; 833 493 358 ; 164 292 418 ; 
864 734 431 ; 251 444 107 ; 712 574 62 ; 215 838 496 ; 886 25 39 ; 
894 470 15 ; 990 232 117 ; 783 900 13 ; 253 114 72 ; 545 401 78 ; 
256 640 290 ; 700 699 106 ; 250 498 310 ; 64 570 466 ; 89 913 197 ; 
560 408 331 ; 792 869 489 ; 669 574 4 ; 783 243 51 ; 160 745 340 ; 
800 387 326 ; 476 893 22 ; 974 627 174 ; 520 50 156 ; 409 711 256 ; 
818 211 493 ; 663 604 49 ; 214 964 210 ; 457 60 235 ; 178 432 130 ; 
565 326 315 ; 434 476 423 ; 38 302 211 ; 88 378 445 ; 799 518 121 ; 
1010 748 279 ; 591 513 433 ; 531 47 52 ; 591 250 2 ; 0 213 355 ; 
326 336 189 ; 803 235 498 ; 81 611 389 ; 460 936 319 ; 978 758 459 ; 
702 989 358 ; 192 1014 497 ; 239 678 420 ; 490 557 427 ; 703 892 275 ; 
15 382 155 ; 250 436 189 ; 861 925 104 ; 774 428 222 ; 508 19 50 ; 
473 410 196 ; 463 787 155 ; 117 731 475 ; 674 182 218 ; 543 225 120 ; 
925 268 15 ; 337 638 14 ; 239 786 393 ; 667 1016 214 ; 687 682 276 ; 
73 303 52 ; 860 626 469 ; 567 117 312 ; 749 871 338 ; 975 68 344 ; 
219 991 39 ; 857 906 464 ; 620 47 118 ; 612 49 241 ; 271 826 300 ; 
574 62 459 ; 176 796 224 ; 293 968 296 ; 140 234 95 ; 208 175 49 ; 
176 658 136 ; 58 19 159 ; 105 741 161 ; 154 678 97 ; 980 258 485 ; 
19 526 80 ; 815 866 78 ; 759 19 134 ; 994 762 223 ; 145 207 64 ; 
803 627 128 ; 822 243 284 ; 539 716 194 ; 193 785 103 ; 452 442 374 ; 
978 371 486 ; 820 873 493 ; 839 528 364 ; 578 475 412 ; 785 563 178 ; 
389 860 155 ; 632 308 234 ; 324 839 233 ; 85 450 268 ; 527 216 434 ; 
898 963 178 ; 748 704 164 ; 252 237 264 ; 727 529 128 ; 267 791 202 ; 
103 174 35 ; 411 360 468 ; 226 345 308 ; 677 870 272 ; 893 564 105 ; 
832 710 145 ; 513 810 471 ; 750 706 367 ; 255 418 115 ; 22 708 143 ; 
196 760 162 ; 556 176 153 ; 902 225 400 ; 748 597 99 ; 288 31 204 ; 
998 1016 441 ; 784 851 446 ; 466 411 415 ; 885 222 361 ; 569 761 400 ; 
305 543 6 ; 482 428 38 ; 707 725 230 ; 280 224 168 ; 311 400 268 ; 
303 445 168 ; 131 299 46 ; 542 666 214 ; 764 759 493 ; 502 83 306 ; 
21 453 207 ; 450 1019 233 ; 151 94 55 ; 375 70 130 ; 775 795 82 ; 
196 783 370 ; 496 746 137 ; 138 468 356 ; 898 657 246 ; 981 707 423 ; 
411 303 29 ; 406 204 78 ; 500 587 76 ; 571 653 423 ; 342 999 70 ; 
101 633 221 ; 847 571 170 ; 292 639 362 ; 949 226 416 ; 633 577 194 ; 
936 406 448 ; 116 256 331 ; 703 557 437 ; 332 1008 146 ; 307 811 477 ; 
941 364 51 ; 488 114 36 ; 103 360 184 ; 329 745 356 ; 906 1003 397 ; 
288 195 114 ; 545 822 66 ; 78 832 486 ; 62 318 281 ; 873 375 377 ; 
214 774 413 ; 328 250 258 ; 689 574 402 ; 410 166 53 ; 389 708 459 ; 
585 858 41 ; 383 921 34 ; 191 75 163 ; 509 957 209 ; 884 122 95 ; 
634 619 245 ; 885 9 231 ; 435 911 19 ; 602 893 28 ; 286 180 174 ; 
120 373 4 ; 17 855 465 ; 93 858 92 ; 26 939 472 ; 148 59 101 ; 
768 52 458 ; 777 259 240 ; 665 794 41 ; 534 995 341 ; 714 581 51 ; 
63 557 69 ; 919 94 9 ; 753 15 143 ; 669 127 104 ; 728 748 378 ; 
780 206 490 ; 15 299 410 ; 809 252 44 ; 780 641 145 ; 338 608 119 ; 
895 861 425 ; 990 211 104 ; 1005 602 395 ; 108 62 461 ; 856 572 158 ; 
39 206 286 ; 338 609 90 ; 590 765 5 ; 208 562 346 ; 816 893 199 ; 
654 914 237 ; 865 998 112 ; 443 978 346 ; 505 687 327 ; 53 41 83 ; 
259 123 364 ; 868 985 479 ; 609 838 169 ; 147 476 475 ; 16 895 443 ; 
930 628 124 ; 905 233 86 ; 859 827 191 ; 522 379 82 ; 563 38 215 ; 
686 554 468 ; 647 85 331 ; 461 978 68 ; 937 414 73 ; 809 57 141 ; 
413 517 241 ; 646 607 300 ; 450 538 273 ; 829 912 408 ; 867 767 166 ; 
398 675 57 ; 483 843 15 ; 438 855 334 ; 852 452 19 ; 909 197 268 ; 
403 983 281 ; 1010 651 295 ; 525 200 125 ; 413 608 119 ; 157 514 252 ; 
832 983 312 ; 651 90 162 ; 482 868 281 ; 935 59 191 ; 108 187 367 ; 
67 101 105 ; 718 428 380 ; 918 377 278 ; 502 777 343 ; 1016 981 9 ; 
975 5 342 ; 41 451 458 ; 909 357 394 ; 968 700 216 ; 132 872 499 ; 
233 929 384 ; 661 365 463 ; 14 811 38 ; 791 759 232 ; 749 96 307 ; 
754 614 279 ; 182 940 355 ; 539 894 252 ; 215 307 454 ; 63 654 182 ; 
992 86 206 ; 333 610 159 ; 121 828 336 ; 880 940 363 ; 976 531 62 ; 
566 115 187 ; 482 674 198 ; 353 250 460 ; 660 736 255 ; 290 143 274 ; 
377 705 386 ; 987 477 250 ; 791 909 44 ; 707 332 249 ; 215 547 61 ; 
330 486 137 ; 1004 156 171 ; 230 8 121 ; 967 399 86 ; 86 1006 430 ; 
791 652 357 ; 244 266 398 ; 130 214 369 ; 462 283 308 ; 1009 208 299 ; 
472 85 2 ; 628 528 196 ; 637 430 440 ; 12 684 487 ; 1018 575 142 ; 
646 756 440 ; 913 290 87 ; 103 811 96 ; 387 75 154 ; 595 46 272 ; 
681 233 218 ; 185 749 178 ; 615 222 498 ; 276 949 343 ; 851 595 468 ; 
583 327 442 ; 873 850 209 ; 660 594 18 ; 735 468 413 ; 781 805 348 ; 
1014 103 32 ; 740 897 453 ; 962 271 282 ; 887 283 494 ; 458 307 322 ; 
785 325 253 ; 611 990 440 ; 182 520 133 ; 650 154 53 ; 431 174 8 ; 
534 790 297 ; 407 39 424 ; 679 498 140 ; 962 548 182 ; 245 874 93 ; 
570 3 163 ; 537 739 332 ; 33 300 39 ; 187 521 233 ; 362 453 68 ; 
128 142 167 ; 168 846 250 ; 666 242 345 ; 190 600 304 ; 40 821 322 ; 
